Ledningskonstruktion;Säkerhetsklass;Områdestyp;Stolptyp;Stolpmaterial;Ledningsmaterial;Ledningsisolering;Tvärsnittsarea;Spänningsnivå;Imax;Kostnadskod;Kommentar;
aercbl;B;Landsbygd svår mark;single;none;Cu;PVC;10;0,4;60;NG12311;1114;
aercbl;A;Tätort;single;wood;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Tätort;single;wood;Al;PE;25;0,4;95;NG12311;1106;
aercbl;B;Landsbygd svår mark;single;none;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;A;Tätort;single;wood;Al;PVC;35;0,4;105;NG12311;1103;
aercbl;B;Landsbygd;single;none;Cu;PEX;10;24;96;NG12101;1001;
aercbl;A;Landsbygd;portal;wood;Cu;PVC;10;0,4;60;NG12311;1114;
aercbl;B;Landsbygd;single;none;Al;PVC;16;0,4;65;NG12311;1101;
aercbl;A;Landsbygd;portal;wood;Al;PEX;240;24;400;NG12103;1024;
aercbl;B;Landsbygd;single;none;Al;PE;95;0,4;220;NG12313;1108;
aercbl;A;Landsbygd;single;wood;Al;PEX;50;24;160;NG12102;1013;
aercbl;B;Landsbygd;single;none;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;A;Landsbygd;portal;wood;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;A;Landsbygd;portal;wood;Al;PE;25;0,4;95;NG12311;1106;
aercbl;A;Landsbygd;single;wood;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;A;Landsbygd;portal;wood;Cu;PVC;25;0,4;130;NG12311;1121;
aercbl;B;Tätort;single;none;Cu;PVC;10;0,4;77;NG12311;1118;
aercbl;B;Landsbygd;single;none;Al;PEX;50;24;160;NG12102;1013;
aercbl;A;Landsbygd;portal;wood;Cu;PEX;0;12;96;NG12201;3000;
aercbl;A;Landsbygd;portal;wood;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;B;Landsbygd;single;none;Cu;PVC;10;0,4;60;NG12311;1114;
aercbl;A;Landsbygd;portal;wood;Al;PEX;50;12;160;NG12202;3002,3013;
aercbl;B;Landsbygd;single;none;Cu;PVC;25;0,4;130;NG12311;1121;
aercbl;A;Landsbygd;single;wood;Cu;PEX;10;24;100;NG12101;1175;
aercbl;B;Landsbygd;single;none;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;A;Landsbygd;portal;wood;Al;PVC;35;0,4;105;NG12311;1103;
aercbl;B;Landsbygd;single;none;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Landsbygd;portal;wood;Al;PVC;16;0,4;65;NG12311;1101;
aercbl;B;Landsbygd;single;none;Al;PVC;35;0,4;105;NG12311;1103;
aercbl;A;Landsbygd;portal;wood;Cu;PVC;6;0,4;33;NG12311;1113;
aercbl;B;Landsbygd;single;none;Al;PEX;240;24;400;NG12103;1024;
aercbl;B;Landsbygd;single;none;Cu;PEX;0;12;96;NG12201;3000;
aercbl;B;Landsbygd;single;none;Al;PE;25;0,4;95;NG12311;1106;
aercbl;A;Landsbygd;single;wood;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;A;Landsbygd;single;wood;Al;PE;95;0,4;220;NG12313;1108;
aercbl;A;Landsbygd;portal;wood;Cu;PEX;10;24;96;NG12101;1001;
aercbl;A;Landsbygd;portal;wood;Al;PE;95;0,4;220;NG12313;1108;
aercbl;B;Landsbygd;single;none;Al;PEX;50;12;160;NG12202;3002,3013;
aercbl;A;Landsbygd;single;wood;Al;PE;25;0,4;95;NG12311;1106;
aercbl;A;Landsbygd;single;wood;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Landsbygd;portal;wood;Al;PE;50;0,4;140;NG12312;1107;
other;none;Landsbygd;none;none;Cu;undef;25;0,4;0;NG12312;;
other;B;Landsbygd;single;wood;Cu;undef;25;0,4;0;NG12311;;
other;B;Landsbygd svår mark;single;wood;Cu;undef;25;0,4;0;NG12311;;
other;none;Tätort;none;none;Cu;undef;25;0,4;0;NG12312;;
other;none;Landsbygd svår mark;none;none;Cu;undef;25;0,4;0;NG12312;;
other;none;Tätort;none;none;Cu;PVC;0;0,4;0;NG14524;3601;
overh;none;Landsbygd;none;none;Cu;undef;16;0,4;0;NG12311;;
overh;none;Landsbygd;none;none;AlloyAl;undef;49;0,4;0;NG12312;;
overh;B;Landsbygd;single;wood;Cu;undef;16;0,4;0;NG12311;;
overh;B;Tätort;single;wood;Cu;undef;10;0,4;0;NG12311;;
overh;none;Tätort;none;none;Cu;undef;10;0,4;0;NG12311;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;49;0,4;0;NG12312;;
overh;B;Landsbygd;single;wood;Cu;undef;10;0,4;0;NG12311;;
overh;none;Landsbygd;none;none;Cu;undef;10;0,4;0;NG12311;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;31;0,4;0;NG12311;;
overh;none;Landsbygd;none;none;AlloyAl;undef;31;0,4;0;NG12311;;
overh;B;Landsbygd;single;wood;Cu;undef;25;0,4;0;NG12311;;
overh;B;Landsbygd svår mark;single;wood;Cu;undef;10;0,4;0;NG12311;;
overh;B;Landsbygd;single;wood;ACSR;undef;62;24;210;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;49;24;210;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;49;24;175;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;49;24;175;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;31;24;130;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;49;24;210;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;62;24;210;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;31;24;115;NG11012;;
overh;B;Landsbygd svår mark;single;wood;AlloyAl;undef;157;24;415;NG11014;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;157;24;415;NG11014;;
overh;none;Landsbygd;none;none;AlloyAl;undef;157;24;415;NG11014;;
overh;B;Landsbygd;single;wood;ACSR;undef;99;24;285;NG11013;;
overh;none;Landsbygd;none;none;ACSR;undef;31;24;130;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;31;24;115;NG11012;;
overh;B;Tätort;single;wood;ACSR;undef;62;24;210;NG11012;;
overh;none;Tätort;none;none;ACSR;undef;62;24;210;NG11012;;
overh;none;Tätort;none;none;ACSR;undef;234;52;340;R-NR-LL-2-3;;
overh;none;Landsbygd;none;none;ACSR;undef;157;52;270;R-NR-LL-2-2;;
overh;B;Landsbygd;single;wood;ACSR;undef;157;52;270;R-NR-LL-2-2;;
overh;none;Landsbygd;none;none;ACSR;undef;99;24;285;NG11013;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;62;24;210;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;99;52;155;R-NR-LL-2-1;;
overh;none;Landsbygd;none;none;ACSR;undef;99;52;155;R-NR-LL-2-1;;
overh;B;Landsbygd;single;wood;ACSR;undef;99;12;285;NG11013;;
overh;B;Landsbygd;single;wood;ACSR;undef;157;12;395;NG11014;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;31;12;130;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;31;12;130;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;31;12;130;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;49;12;175;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;49;12;175;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;49;24;210;NG11012;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;62;0,4;0;NG12312;;
overh;none;Landsbygd svår mark;none;none;Cu;undef;16;0,4;0;NG12311;;
overh;none;Landsbygd svår mark;none;none;AlloyAl;undef;49;0,4;0;NG12312;;
overh;none;Landsbygd;none;none;AlloyAl;undef;62;0,4;0;NG12312;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;234;52;370;R-NR-LL-2-3;;
